id;Type;Option;Up/Down;Date open;Date close;Rate open;Rate close;Amount;Result
215397736;Sprint;AUD/USD;Down;13:10:51, 19 Feb 25;13:25:51, 19 Feb 25;0.63558;0.63548;500 USD;925 USD
215398440;Sprint;USD/CAD;Up;13:27:15, 19 Feb 25;13:42:15, 19 Feb 25;1.4204;1.42047;700 USD;1295 USD
215431373;Sprint;GBP/CHF;Down;11:25:24, 20 Feb 25;11:40:24, 20 Feb 25;1.13781;1.13784;250 USD;0 USD
215470481;Sprint;AUD/USD;Up;11:05:04, 21 Feb 25;11:20:04, 21 Feb 25;0.639;0.63867;250 USD;0 USD
215513894;Sprint;AUD/NZD;Up;10:45:09, 24 Feb 25;11:00:09, 24 Feb 25;1.10774;1.10783;250 USD;462.5 USD
215520413;Sprint;EUR/GBP;Up;13:16:16, 24 Feb 25;13:31:16, 24 Feb 25;0.82898;0.8286;462 USD;0 USD
215552974;Sprint;EUR/GBP;Up;12:22:24, 25 Feb 25;12:37:24, 25 Feb 25;0.82962;0.82951;250 USD;0 USD
215586004;Sprint;USD/CAD;Up;13:00:23, 26 Feb 25;13:15:23, 26 Feb 25;1.43313;1.43396;250 USD;462.5 USD
215586606;Sprint;AUD/USD;Down;13:15:20, 26 Feb 25;13:30:20, 26 Feb 25;0.63236;0.63223;462 USD;854.7 USD
215616964;Sprint;GBP/JPY;Up;11:15:28, 27 Feb 25;11:30:28, 27 Feb 25;189.075;189.465;250 USD;462.5 USD
215622554;Sprint;AUD/USD;Down;13:43:30, 27 Feb 25;13:58:30, 27 Feb 25;0.6296;0.62992;462 USD;0 USD
215647181;Sprint;EUR/GBP;Up;10:20:07, 28 Feb 25;10:30:07, 28 Feb 25;0.82564;0.82566;250 USD;462.5 USD
215647643;Sprint;EUR/CHF;Up;10:32:45, 28 Feb 25;10:42:45, 28 Feb 25;0.93628;0.93662;462 USD;854.7 USD
215687098;Sprint;EUR/CHF;Down;11:51:33, 03 Mar 25;12:06:33, 03 Mar 25;0.93704;0.93745;250 USD;0 USD
215721418;Sprint;EUR/CHF;Down;11:52:11, 04 Mar 25;12:07:11, 04 Mar 25;0.93812;0.93877;250 USD;0 USD
215748909;Sprint;USD/CAD;Up;07:55:39, 05 Mar 25;08:10:39, 05 Mar 25;1.44301;1.4425;250 USD;0 USD
215783993;Sprint;AUD/NZD;Up;10:01:19, 06 Mar 25;10:16:19, 06 Mar 25;1.10529;1.10545;250 USD;462.5 USD
215784880;Sprint;EUR/CHF;Down;10:25:19, 06 Mar 25;10:40:19, 06 Mar 25;0.96078;0.96046;462 USD;854.7 USD
215815107;Sprint;AUD/NZD;Down;08:40:39, 07 Mar 25;08:55:39, 07 Mar 25;1.10333;1.10294;250 USD;462.5 USD
215816690;Sprint;USD/CAD;Up;09:38:34, 07 Mar 25;09:53:34, 07 Mar 25;1.43148;1.43073;462 USD;0 USD
215852452;Sprint;EUR/GBP;Up;09:25:11, 10 Mar 25;09:40:11, 10 Mar 25;0.8392;0.8393;250 USD;462.5 USD
215852930;Sprint;EUR/JPY;Up;09:46:41, 10 Mar 25;10:01:41, 10 Mar 25;160.137;160.045;462 USD;0 USD
215883127;Sprint;EUR/GBP;Up;07:30:03, 11 Mar 25;07:45:03, 11 Mar 25;0.84198;0.84186;250 USD;0 USD
215926146;Sprint;EUR/GBP;Down;12:14:58, 12 Mar 25;12:29:58, 12 Mar 25;0.84391;0.84406;250 USD;0 USD
215950695;Sprint;AUD/USD;Down;08:36:48, 13 Mar 25;08:51:48, 13 Mar 25;0.63025;0.63022;250 USD;462.5 USD
215951631;Sprint;EUR/CHF;Down;09:14:14, 13 Mar 25;09:29:14, 13 Mar 25;0.95896;0.95815;250 USD;462.5 USD
215983601;Sprint;AUD/USD;Up;10:44:24, 14 Mar 25;10:59:24, 14 Mar 25;0.6303;0.63041;250 USD;462.5 USD
215986933;Sprint;AUD/NZD;Up;12:15:26, 14 Mar 25;12:30:26, 14 Mar 25;1.10176;1.10179;462 USD;854.7 USD
216015237;Sprint;AUD/NZD;Up;08:50:57, 17 Mar 25;09:05:57, 17 Mar 25;1.09918;1.099;250 USD;0 USD
216058274;Sprint;AUD/USD;Down;13:40:05, 18 Mar 25;13:55:05, 18 Mar 25;0.63717;0.63713;250 USD;462.5 USD
216058972;Sprint;AUD/USD;Down;13:56:37, 18 Mar 25;14:11:37, 18 Mar 25;0.63712;0.63713;462 USD;0 USD
216091192;Sprint;USD/CAD;Up;13:31:07, 19 Mar 25;13:46:07, 19 Mar 25;1.43334;1.43344;250 USD;462.5 USD
216093807;Sprint;USD/CAD;Down;14:40:03, 19 Mar 25;14:55:03, 19 Mar 25;1.43234;1.43192;462 USD;854.7 USD
216120883;Sprint;EUR/CHF;Down;13:11:27, 20 Mar 25;13:26:27, 20 Mar 25;0.95614;0.95535;250 USD;462.5 USD
216125185;Sprint;USD/CAD;Down;15:10:57, 20 Mar 25;15:20:57, 20 Mar 25;1.43733;1.43743;462 USD;0 USD
216142483;Sprint;EUR/CHF;Up;09:32:08, 21 Mar 25;09:47:08, 21 Mar 25;0.95696;0.95727;250 USD;462.5 USD
216145475;Sprint;EUR/USD;Up;11:04:31, 21 Mar 25;11:19:31, 21 Mar 25;1.08406;1.08291;462 USD;0 USD
216176047;Sprint;USD/CAD;Up;08:50:03, 24 Mar 25;09:00:03, 24 Mar 25;1.43466;1.43445;250 USD;0 USD
216214375;Sprint;AUD/NZD;Up;11:52:54, 25 Mar 25;12:07:54, 25 Mar 25;1.09958;1.09964;250 USD;462.5 USD
216215155;Sprint;AUD/USD;Up;12:16:10, 25 Mar 25;12:31:10, 25 Mar 25;0.62888;0.62935;462 USD;854.7 USD
216242920;Sprint;GBP/JPY;Down;10:27:58, 26 Mar 25;10:42:58, 26 Mar 25;194.478;194.202;250 USD;462.5 USD
216247834;Sprint;EUR/GBP;Down;12:39:37, 26 Mar 25;12:54:37, 26 Mar 25;0.83656;0.83641;462 USD;854.7 USD
216270885;Sprint;EUR/GBP;Down;07:46:09, 27 Mar 25;08:01:09, 27 Mar 25;0.83434;0.83438;250 USD;0 USD
216303517;Sprint;AUD/USD;Up;09:04:49, 28 Mar 25;09:19:49, 28 Mar 25;0.62887;0.62876;250 USD;0 USD
216336260;Sprint;AUD/USD;Up;08:13:27, 31 Mar 25;08:28:27, 31 Mar 25;0.62828;0.62851;250 USD;462.5 USD
216344260;Sprint;EUR/CHF;Up;12:25:47, 31 Mar 25;12:40:47, 31 Mar 25;0.9539;0.95383;462 USD;0 USD
216366784;Sprint;AUD/USD;Down;06:50:30, 01 Apr 25;07:05:30, 01 Apr 25;0.6252;0.62491;250 USD;462.5 USD
216367981;Sprint;AUD/NZD;Up;07:53:37, 01 Apr 25;08:08:37, 01 Apr 25;1.10192;1.10234;462 USD;854.7 USD
216397751;Sprint;AUD/NZD;Down;06:40:20, 02 Apr 25;06:55:20, 02 Apr 25;1.10096;1.10098;250 USD;0 USD
216431586;Sprint;AUD/NZD;Down;05:36:35, 03 Apr 25;05:51:35, 03 Apr 25;1.09413;1.09341;250 USD;462.5 USD
216432526;Sprint;AUD/NZD;Up;06:46:08, 03 Apr 25;07:01:08, 03 Apr 25;1.09357;1.09355;462 USD;0 USD
216464461;Sprint;EUR/JPY;Up;05:50:00, 04 Apr 25;06:05:00, 04 Apr 25;161.795;161.595;250 USD;0 USD
216504258;Sprint;GBP/JPY;Down;09:21:15, 07 Apr 25;09:36:15, 07 Apr 25;188.045;187.67;250 USD;462.5 USD
216511952;Sprint;GBP/JPY;Up;13:15:37, 07 Apr 25;13:25:37, 07 Apr 25;187.915;188.137;462 USD;854.7 USD
216530513;Sprint;EUR/USD;Down;06:39:57, 08 Apr 25;06:54:57, 08 Apr 25;1.0963;1.09645;250 USD;0 USD
216561471;Sprint;EUR/GBP;Up;08:04:31, 09 Apr 25;08:19:31, 09 Apr 25;0.86082;0.86104;250 USD;462.5 USD
216562617;Sprint;AUD/NZD;Up;09:03:18, 09 Apr 25;09:18:18, 09 Apr 25;1.07877;1.07922;462 USD;854.7 USD
216563396;Sprint;EUR/GBP;Up;09:27:55, 09 Apr 25;09:42:55, 09 Apr 25;0.8614;0.86207;462 USD;854.7 USD
216590906;Sprint;EUR/CHF;Up;07:55:36, 10 Apr 25;08:05:36, 10 Apr 25;0.93613;0.93662;250 USD;462.5 USD
216593462;Sprint;AUD/USD;Down;09:35:05, 10 Apr 25;09:45:05, 10 Apr 25;0.61866;0.61842;462 USD;854.7 USD
216622722;Sprint;AUD/NZD;Down;06:29:16, 11 Apr 25;06:44:16, 11 Apr 25;1.07855;1.07788;250 USD;462.5 USD
216623834;Sprint;EUR/CHF;Down;07:40:35, 11 Apr 25;07:55:35, 11 Apr 25;0.92642;0.9261;462 USD;854.7 USD
216662618;Sprint;USD/CAD;Up;08:15:00, 14 Apr 25;08:25:00, 14 Apr 25;1.38743;1.38654;250 USD;0 USD
216692178;Sprint;EUR/GBP;Down;07:35:01, 15 Apr 25;07:50:01, 15 Apr 25;0.85954;0.85952;250 USD;462.5 USD
216693367;Sprint;USD/CAD;Up;08:31:43, 15 Apr 25;08:46:43, 15 Apr 25;1.38598;1.38628;462 USD;854.7 USD
